CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE,OBJECT_INSTANCE
2023-10-19 09:47:54.501000-08:00,2023-10-19 09:47:54.501000-08:00,USAGE,ROLE,USERADMIN,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.523000-08:00,2023-10-19 09:47:54.523000-08:00,CREATE ACCOUNT,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.551000-08:00,2023-10-19 09:47:54.551000-08:00,USAGE,ACCOUNT,ZSB17642,,,ROLE,PUBLIC,False,,,,
2023-10-19 09:47:54.510000-08:00,2023-10-19 09:47:54.510000-08:00,CREATE ROLE,ACCOUNT,ZSB17642,,,ROLE,USERADMIN,True,,,,
2023-10-19 09:47:54.510000-08:00,2023-10-19 09:47:54.510000-08:00,CREATE USER,ACCOUNT,ZSB17642,,,ROLE,USERADMIN,True,,,,
2023-10-19 09:47:54.516000-08:00,2023-10-19 09:47:54.516000-08:00,CREATE DATABASE,ACCOUNT,ZSB17642,,,ROLE,SYSADMIN,True,,,,
2023-10-19 09:47:54.513000-08:00,2023-10-19 09:47:54.513000-08:00,ATTACH POLICY,ACCOUNT,ZSB17642,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.547000-08:00,2023-10-19 09:47:54.547000-08:00,MONITOR,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.528000-08:00,2023-10-19 09:47:54.528000-08:00,EXECUTE MANAGED TASK,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.667000-08:00,2023-10-19 09:47:54.667000-08:00,MANAGE ORGANIZATION ACCOUNTS,ACCOUNT,ZSB17642,,,ROLE,ORGADMIN,True,,,,
2023-10-19 09:47:54.502000-08:00,2023-10-19 09:47:54.502000-08:00,USAGE,ROLE,SYSADMIN,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.511000-08:00,2023-10-19 09:47:54.511000-08:00,CREATE NETWORK POLICY,ACCOUNT,ZSB17642,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.518000-08:00,2023-10-19 09:47:54.518000-08:00,MONITOR USAGE,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.514000-08:00,2023-10-19 09:47:54.514000-08:00,MANAGE GRANTS,ACCOUNT,ZSB17642,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.516000-08:00,2023-10-19 09:47:54.516000-08:00,CREATE WAREHOUSE,ACCOUNT,ZSB17642,,,ROLE,SYSADMIN,True,,,,
2023-10-19 09:53:39.348000-08:00,2023-10-19 09:53:39.348000-08:00,OWNERSHIP,SCHEMA,PUBLIC,GARDEN_PLANTS,PUBLIC,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:53:53.082000-08:00,2023-10-19 09:53:53.082000-08:00,OWNERSHIP,SCHEMA,VEGGIES,GARDEN_PLANTS,VEGGIES,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
