CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE,OBJECT_INSTANCE
2023-10-19 09:47:54.501000-08:00,2023-10-19 09:47:54.501000-08:00,USAGE,ROLE,USERADMIN,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.502000-08:00,2023-10-19 09:47:54.502000-08:00,USAGE,ROLE,SECURITYADMIN,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.502000-08:00,2023-10-19 09:47:54.502000-08:00,USAGE,ROLE,SYSADMIN,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.504000-08:00,2023-10-19 09:47:54.504000-08:00,OWNERSHIP,USER,HECLOUD,,,ROLE,ACCOUNTADMIN,True,ACCOUNTADMIN,,ROLE,
2023-10-19 09:47:54.510000-08:00,2023-10-19 09:47:54.510000-08:00,CREATE ROLE,ACCOUNT,ZSB17642,,,ROLE,USERADMIN,True,,,,
2023-10-19 09:47:54.510000-08:00,2023-10-19 09:47:54.510000-08:00,CREATE USER,ACCOUNT,ZSB17642,,,ROLE,USERADMIN,True,,,,
2023-10-19 09:47:54.511000-08:00,2023-10-19 09:47:54.511000-08:00,CREATE NETWORK POLICY,ACCOUNT,ZSB17642,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.513000-08:00,2023-10-19 09:47:54.513000-08:00,ATTACH POLICY,ACCOUNT,ZSB17642,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.514000-08:00,2023-10-19 09:47:54.514000-08:00,MANAGE GRANTS,ACCOUNT,ZSB17642,,,ROLE,SECURITYADMIN,True,,,,
2023-10-19 09:47:54.516000-08:00,2023-10-19 09:47:54.516000-08:00,CREATE DATABASE,ACCOUNT,ZSB17642,,,ROLE,SYSADMIN,True,,,,
2023-10-19 09:47:54.516000-08:00,2023-10-19 09:47:54.516000-08:00,CREATE WAREHOUSE,ACCOUNT,ZSB17642,,,ROLE,SYSADMIN,True,,,,
2023-10-19 09:47:54.518000-08:00,2023-10-19 09:47:54.518000-08:00,MONITOR USAGE,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.520000-08:00,2023-10-19 09:47:54.520000-08:00,CREATE SHARE,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.520000-08:00,2023-10-19 09:47:54.520000-08:00,IMPORT SHARE,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.523000-08:00,2023-10-19 09:47:54.523000-08:00,CREATE ACCOUNT,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
2023-10-19 09:47:54.524000-08:00,2023-10-19 09:47:54.524000-08:00,CREATE INTEGRATION,ACCOUNT,ZSB17642,,,ROLE,ACCOUNTADMIN,True,,,,
